CAS NUMBER,FLOW,METHOD CODE,TRIFID,UNIT OF MEASURE,PRIMARY NAICS CODE,WASTE STREAM CODE,RANGE INFLUENT CONCENTRATION,TYPE OF MANAGEMENT,EFFICIENCY ESTIMATION,WASTE FLOW RANGE,MIDDLE WASTE FLOW,MIDDLE WASTE FLOW INTERVAL,MIDDLE WASTE FLOW INTERVAL CODE
100414,2124.171336,A07,78540DNBRG222IN,kg,424710,A,2,Treatment,98.0,"(216752.17714285714, 21675217.714285713)",10945984.945714286,"(562341.325, 133352143.216]",4
131113,7763.680672,F99,46140RLLCT3398E,kg,332812,A,1,Treatment,95.0,"(8172.2954442105265, 817229.5444210527)",412700.9199326316,"(2371.374, 562341.325]",3
N120,181.4368,C11,89408RMXNC210LY,kg,326150,L,1,Treatment,100.0,"(181.4368, 18143.68)",9162.5584,"(2371.374, 562341.325]",3
7664393,86182.48,A05,61554NCRNC13082,kg,221112,A,4,Treatment,50.0,"(172364960000.0, 172364960000000.0)",86268662480000.0,"(7498942093324.559, 1778279410038922.8]",7
1330207,1471.452448,A01,36553HNTSM555HU,kg,325211,A,2,Treatment,98.0,"(150148.20897959181, 15014820.897959182)",7582484.553469387,"(562341.325, 133352143.216]",4
7697372,214.549016,F81,28792SLCRP700SH,kg,327125,A,3,Treatment,90.0,"(2383877.9555555554, 238387795.55555555)",120385836.75555556,"(562341.325, 133352143.216]",4
7697372,4989.512,C11,98660FRTLY4808N,kg,311919,W,3,Treatment,100.0,"(49895119.99999999, 4989511999.999999)",2519703559.9999995,"(133352143.216, 31622776601.684]",5
7664417,3628.736,B11,08822JHNNFJOHAN,kg,311411,W,4,Treatment,100.0,"(3628735999.9999995, 3628736000000.0)",1816182368000.0,"(31622776601.684, 7498942093324.559]",6
67561,13545.617896,B11,97045SMRFT419MA,kg,322122,W,3,Treatment,40.4,"(335287571.68316835, 33528757168.316833)",16932022370.0,"(133352143.216, 31622776601.684]",5
7697372,8.618248,A03,55355NDRSN405SO,kg,325611,A,4,Treatment,100.0,"(8618248.0, 8618248000.0)",4313433124.0,"(133352143.216, 31622776601.684]",5
55630,7831.26588,F99,74501MCLSTHWY69,kg,928110,S,2,Treatment,100.0,"(783126.588, 78312658.8)",39547892.694,"(562341.325, 133352143.216]",4
108316,77.11064,F99,75901GRGPC1429E,kg,325211,A,4,Treatment,98.8,"(78047206.47773279, 78047206477.7328)",39062626842.10527,"(31622776601.684, 7498942093324.559]",6
91203,0.453592,P21,07077SHLLL111ST,kg,424710,W,3,Treatment,99.99,"(4536.3736373637375, 453637.3637363737)",229086.86868686872,"(2371.374, 562341.325]",3
N230,6342.123344,F81,75165NTDST200SI,kg,332323,A,2,Treatment,99.4,"(638040.5778672032, 63804057.78672031)",32221049.182293758,"(562341.325, 133352143.216]",4
141322,3.175144,A01,36614MRCNCCYANA,kg,325199,A,3,Treatment,98.0,"(32399.428571428576, 3239942.8571428573)",1636171.142857143,"(562341.325, 133352143.216]",4
67561,12559.508888,F99,49631VRTPR601WS,kg,326199,A,2,Treatment,99.96,"(1256453.4701880754, 125645347.01880755)",63450900.24449781,"(562341.325, 133352143.216]",4
